Code	Name	Parent_Code	Level
410100000000	郑州市	410000000000	3
410200000000	开封市	410000000000	3
410300000000	洛阳市	410000000000	3
410400000000	平顶山市	410000000000	3
410500000000	安阳市	410000000000	3
410600000000	鹤壁市	410000000000	3
410700000000	新乡市	410000000000	3
410800000000	焦作市	410000000000	3
410900000000	濮阳市	410000000000	3
411000000000	许昌市	410000000000	3
411100000000	漯河市	410000000000	3
411200000000	三门峡市	410000000000	3
411300000000	南阳市	410000000000	3
411400000000	商丘市	410000000000	3
411500000000	信阳市	410000000000	3
411600000000	周口市	410000000000	3
411700000000	驻马店市	410000000000	3
419000000000	省直辖县级行政区划	410000000000	3
420100000000	武汉市	420000000000	3
420200000000	黄石市	420000000000	3
420300000000	十堰市	420000000000	3
420500000000	宜昌市	420000000000	3
420600000000	襄阳市	420000000000	3
420700000000	鄂州市	420000000000	3
420800000000	荆门市	420000000000	3
420900000000	孝感市	420000000000	3
421000000000	荆州市	420000000000	3
421100000000	黄冈市	420000000000	3
421200000000	咸宁市	420000000000	3
421300000000	随州市	420000000000	3
422800000000	恩施土家族苗族自治州	420000000000	3
429000000000	省直辖县级行政区划	420000000000	3
430100000000	长沙市	430000000000	3
430200000000	株洲市	430000000000	3
430300000000	湘潭市	430000000000	3
430400000000	衡阳市	430000000000	3
430500000000	邵阳市	430000000000	3
430600000000	岳阳市	430000000000	3
430700000000	常德市	430000000000	3
430800000000	张家界市	430000000000	3
430900000000	益阳市	430000000000	3
431000000000	郴州市	430000000000	3
431100000000	永州市	430000000000	3
431200000000	怀化市	430000000000	3
431300000000	娄底市	430000000000	3
433100000000	湘西土家族苗族自治州	430000000000	3
450100000000	南宁市	450000000000	3
450200000000	柳州市	450000000000	3
450300000000	桂林市	450000000000	3
450400000000	梧州市	450000000000	3
450500000000	北海市	450000000000	3
450600000000	防城港市	450000000000	3
450700000000	钦州市	450000000000	3
450800000000	贵港市	450000000000	3
450900000000	玉林市	450000000000	3
451000000000	百色市	450000000000	3
451100000000	贺州市	450000000000	3
451200000000	河池市	450000000000	3
451300000000	来宾市	450000000000	3
451400000000	崇左市	450000000000	3
500100000000	市辖区	500000000000	3
500200000000	县	500000000000	3
510100000000	成都市	510000000000	3
510300000000	自贡市	510000000000	3
510400000000	攀枝花市	510000000000	3
510500000000	泸州市	510000000000	3
510600000000	德阳市	510000000000	3
510700000000	绵阳市	510000000000	3
510800000000	广元市	510000000000	3
510900000000	遂宁市	510000000000	3
511000000000	内江市	510000000000	3
511100000000	乐山市	510000000000	3
511300000000	南充市	510000000000	3
511400000000	眉山市	510000000000	3
511500000000	宜宾市	510000000000	3
511600000000	广安市	510000000000	3
511700000000	达州市	510000000000	3
511800000000	雅安市	510000000000	3
511900000000	巴中市	510000000000	3
512000000000	资阳市	510000000000	3
513200000000	阿坝藏族羌族自治州	510000000000	3
513300000000	甘孜藏族自治州	510000000000	3
513400000000	凉山彝族自治州	510000000000	3
520100000000	贵阳市	520000000000	3
520200000000	六盘水市	520000000000	3
520300000000	遵义市	520000000000	3
520400000000	安顺市	520000000000	3
520500000000	毕节市	520000000000	3
520600000000	铜仁市	520000000000	3
522300000000	黔西南布依族苗族自治州	520000000000	3
522600000000	黔东南苗族侗族自治州	520000000000	3
522700000000	黔南布依族苗族自治州	520000000000	3
530100000000	昆明市	530000000000	3
530300000000	曲靖市	530000000000	3
530400000000	玉溪市	530000000000	3
530500000000	保山市	530000000000	3
530600000000	昭通市	530000000000	3
530700000000	丽江市	530000000000	3
530800000000	普洱市	530000000000	3
530900000000	临沧市	530000000000	3
532300000000	楚雄彝族自治州	530000000000	3
532500000000	红河哈尼族彝族自治州	530000000000	3
532600000000	文山壮族苗族自治州	530000000000	3
532800000000	西双版纳傣族自治州	530000000000	3
532900000000	大理白族自治州	530000000000	3
533100000000	德宏傣族景颇族自治州	530000000000	3
533300000000	怒江傈僳族自治州	530000000000	3
533400000000	迪庆藏族自治州	530000000000	3
540100000000	拉萨市	540000000000	3
540200000000	日喀则市	540000000000	3
540300000000	昌都市	540000000000	3
540400000000	林芝市	540000000000	3
540500000000	山南市	540000000000	3
540600000000	那曲市	540000000000	3
542500000000	阿里地区	540000000000	3
610100000000	西安市	610000000000	3
610200000000	铜川市	610000000000	3
610300000000	宝鸡市	610000000000	3
610400000000	咸阳市	610000000000	3
610500000000	渭南市	610000000000	3
610600000000	延安市	610000000000	3
610700000000	汉中市	610000000000	3
610800000000	榆林市	610000000000	3
610900000000	安康市	610000000000	3
611000000000	商洛市	610000000000	3
620100000000	兰州市	620000000000	3
620200000000	嘉峪关市	620000000000	3
620300000000	金昌市	620000000000	3
620400000000	白银市	620000000000	3
620500000000	天水市	620000000000	3
620600000000	武威市	620000000000	3
620700000000	张掖市	620000000000	3
620800000000	平凉市	620000000000	3
620900000000	酒泉市	620000000000	3
621000000000	庆阳市	620000000000	3
621100000000	定西市	620000000000	3
621200000000	陇南市	620000000000	3
622900000000	临夏回族自治州	620000000000	3
623000000000	甘南藏族自治州	620000000000	3
630100000000	西宁市	630000000000	3
630200000000	海东市	630000000000	3
632200000000	海北藏族自治州	630000000000	3
632300000000	黄南藏族自治州	630000000000	3
632500000000	海南藏族自治州	630000000000	3
632600000000	果洛藏族自治州	630000000000	3
632700000000	玉树藏族自治州	630000000000	3
632800000000	海西蒙古族藏族自治州	630000000000	3
640100000000	银川市	640000000000	3
640200000000	石嘴山市	640000000000	3
640300000000	吴忠市	640000000000	3
640400000000	固原市	640000000000	3
640500000000	中卫市	640000000000	3
650100000000	乌鲁木齐市	650000000000	3
650200000000	克拉玛依市	650000000000	3
650400000000	吐鲁番市	650000000000	3
650500000000	哈密市	650000000000	3
652300000000	昌吉回族自治州	650000000000	3
652700000000	博尔塔拉蒙古自治州	650000000000	3
652800000000	巴音郭楞蒙古自治州	650000000000	3
652900000000	阿克苏地区	650000000000	3
653000000000	克孜勒苏柯尔克孜自治州	650000000000	3
653100000000	喀什地区	650000000000	3
653200000000	和田地区	650000000000	3
